"Salgspris"	"Dato"	"Kvadratmeterpris"	"AntalVarelser"	"Postnummer"	"Hustype"	"Kvadratmeter"	"Byggeaar"	"Prisreduktion"
1800000	2012-05-11	13846	6	2610	"Hus"	130	1960	0
4400000	2012-05-08	22335	7	2610	"Hus"	197	1908	1.96078431372549
2200000	2012-04-30	22000	4	2610	"Hus"	100	1935	11.5044247787611
2e+06	2012-04-29	12738	4	2610	"Hus"	157	1940	6.54205607476636
2700000	2012-04-27	18493	6	2610	"Hus"	146	1952	9.09090909090909
3075000	2012-04-27	22777	5	2610	"Hus"	135	1934	0
4125000	2012-04-26	25152	6	2610	"Hus"	164	2007	5.66037735849058
2995000	2012-04-26	30252	3	2610	"Hus"	99	1932	0
1800000	2012-04-24	16216	5	2610	"Hus"	111	1962	9.09090909090909
2620000	2012-04-23	24952	4	2610	"Hus"	105	1963	0
2460000	2012-04-12	18222	6	2610	"Hus"	135	1936	9.90990990990992
1700000	2012-04-02	16190	5	2610	"Hus"	105	1926	4.76190476190477
2875000	2012-03-25	27644	3	2610	"Hus"	104	1953	-2.04081632653061
1930000	2012-03-23	22183	4	2610	"Hus"	87	1937	2.9126213592233
1383331	2012-03-23	12928	4	2610	"Hus"	107	1961	0
2700000	2012-03-22	20300	5	2610	"Hus"	133	1940	9.09090909090909
1775000	2012-03-21	18298	5	2610	"Hus"	97	1939	0
2325000	2012-03-20	24218	4	2610	"Hus"	96	1924	6.54205607476636
1400000	2012-03-20	14141	4	2610	"Hus"	99	1940	5.66037735849058
1640000	2012-03-19	11156	5	2610	"Hus"	147	1954	0
4495000	2012-03-18	31000	6	2610	"Hus"	145	1932	0
3025000	2012-03-06	21302	5	2610	"Hus"	142	1930	9.90990990990992
3e+06	2012-03-05	22900	6	2610	"Hus"	131	1928	8.25688073394496
1850000	2012-02-28	16818	4	2610	"Hus"	110	1955	6.54205607476636
2500000	2012-02-28	16778	5	2610	"Hus"	149	1972	6.54205607476636
2200000	2012-02-27	20370	3	2610	"Hus"	108	1960	5.66037735849058
1110000	2012-02-26	13058	4	2610	"Hus"	85	1946	0
2375000	2012-02-23	13494	6	2610	"Hus"	176	1954	0
2400000	2012-02-16	13714	5	2610	"Hus"	175	1935	3.84615384615385
3600000	2012-02-13	23841	5	2610	"Hus"	151	1909	1.96078431372549
2200000	2012-02-08	21153	4	2610	"Hus"	104	1970	0
3200000	2012-02-05	19875	6	2610	"Hus"	161	1933	8.25688073394496
3375000	2012-01-25	25186	5	2610	"Hus"	134	1928	9.90990990990992
3200000	2012-01-23	17112	7	2610	"Hus"	187	1932	5.66037735849058
2e+06	2012-01-23	12658	6	2610	"Hus"	158	1944	12.280701754386
3075000	2012-01-22	21808	5	2610	"Hus"	141	1941	6.54205607476636
2900000	2012-01-20	23770	4	2610	"Hus"	122	1936	9.09090909090909
1900000	2012-01-20	19791	4	2610	"Hus"	96	1955	4.76190476190477
3400000	2012-01-16	24637	4	2610	"Hus"	138	1927	4.76190476190477
3200000	2012-01-13	19047	6	2610	"Hus"	168	1905	2.9126213592233
2500000	2012-01-10	15822	5	2610	"Hus"	158	1935	4.76190476190477
1950000	2012-01-10	17410	6	2610	"Hus"	112	1954	1.96078431372549
1150000	2012-01-09	16911	3	2610	"Hus"	68	1950	2.9126213592233
2175000	2012-01-06	19078	4	2610	"Hus"	114	1967	4.76190476190477
1750000	2012-01-06	18421	3	2610	"Hus"	95	1956	0
3200000	2012-01-03	24427	4	2610	"Hus"	131	1928	0.990099009900991
2675000	2011-12-23	20419	4	2610	"Hus"	131	1930	9.90990990990992
4e+06	2011-12-23	30075	5	2610	"Hus"	133	1903	6.54205607476636
1480000	2011-12-20	10571	5	2610	"Hus"	140	1939	17.3553719008264
2500000	2011-12-12	24038	4	2610	"Hus"	104	1933	15.9663865546218
4300000	2011-12-08	22872	5	2610	"Hus"	188	2011	3.84615384615385
1100000	2011-12-07	11578	4	2610	"Hus"	95	1961	25.9259259259259
3980000	2011-12-01	31338	6	2610	"Hus"	127	1930	5.66037735849058
1490000	2011-11-28	12314	4	2610	"Hus"	121	1957	6.54205607476636
2e+06	2011-11-25	24691	4	2610	"Hus"	81	1957	12.280701754386
2600000	2011-11-24	24074	4	2610	"Hus"	108	1957	6.54205607476636
2975000	2011-11-24	19070	6	2610	"Hus"	156	1983	12.280701754386
4160000	2011-11-24	30814	5	2610	"Hus"	135	1969	7.40740740740742
2800000	2011-11-20	21875	4	2610	"Hus"	128	1930	6.54205607476636
2620000	2011-11-18	18848	4	2610	"Hus"	139	1969	9.09090909090909
1975000	2011-11-17	20153	4	2610	"Hus"	98	1962	9.90990990990992
1550000	2011-11-16	16315	4	2610	"Hus"	95	1933	21.875
1900000	2011-11-12	23750	3	2610	"Hus"	80	1958	4.76190476190477
1674000	2011-11-11	10333	6	2610	"Hus"	162	2006	0
2300000	2011-11-07	22115	4	2610	"Hus"	104	1964	3.84615384615385
2600000	2011-11-02	22807	4	2610	"Hus"	114	1969	0
2050000	2011-11-01	26623	2	2610	"Hus"	77	1942	13.7931034482759
2275000	2011-10-31	21666	4	2610	"Hus"	105	1955	8.25688073394496
1900000	2011-10-25	21111	4	2610	"Hus"	90	1959	4.76190476190477
3100000	2011-10-24	15979	9	2610	"Hus"	194	1922	10.7142857142857
2550000	2011-10-24	22173	5	2610	"Hus"	115	1964	5.66037735849058
2300000	2011-10-13	20535	4	2610	"Hus"	112	1967	3.84615384615385
2e+06	2011-10-12	16000	5	2610	"Hus"	125	1928	0
2295000	2011-10-12	27987	3	2610	"Hus"	82	1954	7.40740740740742
2e+06	2011-10-11	17094	5	2610	"Hus"	117	1953	12.280701754386
2675000	2011-10-11	22863	4	2610	"Hus"	117	1976	3.84615384615385
1600000	2011-10-03	13333	4	2610	"Hus"	120	1959	19.3548387096774
3300000	2011-09-29	28448	4	2610	"Hus"	116	1936	4.76190476190477
4250000	2011-09-26	27243	7	2610	"Hus"	156	1952	0
1900000	2011-09-25	17431	4	2610	"Hus"	109	1956	4.76190476190477
1100000	2011-09-25	14102	3	2610	"Hus"	78	1951	0
2650000	2011-09-21	38405	3	2610	"Hus"	69	1939	8.25688073394496
1500000	2011-09-20	10067	6	2610	"Hus"	149	1950	0
2550000	2011-09-19	27419	4	2610	"Hus"	93	1955	2.9126213592233
2425000	2011-09-16	21846	5	2610	"Hus"	111	1936	5.66037735849058
2425000	2011-09-14	21460	4	2610	"Hus"	113	1932	8.25688073394496
2425000	2011-09-12	15849	4	2610	"Hus"	153	1969	2.9126213592233
2600000	2011-09-12	30232	4	2610	"Hus"	86	1951	6.54205607476636
2425000	2011-09-06	31907	3	2610	"Hus"	76	1938	0
2600000	2011-09-01	20967	4	2610	"Hus"	124	1971	2.9126213592233
1675000	2011-08-29	17447	4	2610	"Hus"	96	1940	6.54205607476636
2950000	2011-08-25	18437	5	2610	"Hus"	160	1960	0
2e+06	2011-08-21	14388	5	2610	"Hus"	139	1955	15.9663865546218
7e+05	2011-08-10	6730	3	2610	"Hus"	104	1935	0
1975000	2011-08-10	25320	3	2610	"Hus"	78	1935	7.40740740740742
1900000	2011-08-09	17431	4	2610	"Hus"	109	1969	3.84615384615385
3150000	2011-08-08	16492	5	2610	"Hus"	191	1964	3.84615384615385
3800000	2011-08-04	24516	3	2610	"Hus"	155	1943	11.5044247787611
2400000	2011-08-04	24242	5	2610	"Hus"	99	1956	7.40740740740742
2120000	2011-08-01	23296	4	2610	"Hus"	91	1942	2.9126213592233
3e+06	2011-07-31	17751	6	2610	"Hus"	169	1958	5.66037735849058
2900000	2011-07-24	20714	4	2610	"Hus"	140	1960	9.09090909090909
2800000	2011-07-19	23333	5	2610	"Hus"	120	1934	5.66037735849058
3400000	2011-07-12	25000	5	2610	"Hus"	136	1930	6.54205607476636
3150000	2011-07-12	17213	5	2610	"Hus"	183	1964	2.9126213592233
3075000	2011-07-05	22610	6	2610	"Hus"	136	1938	2.9126213592233
3100000	2011-06-30	19745	5	2610	"Hus"	157	1976	8.25688073394496
2535000	2011-06-28	25606	3	2610	"Hus"	99	1932	0
1417000	2011-06-27	20242	3	2610	"Hus"	70	1951	0
3e+06	2011-06-22	18750	6	2610	"Hus"	160	1952	11.5044247787611
2600000	2011-06-20	23423	3	2610	"Hus"	111	1936	9.09090909090909
1925000	2011-06-14	15157	5	2610	"Hus"	127	1957	2.9126213592233
1250000	2011-06-14	19841	3	2610	"Hus"	63	1952	13.0434782608696
3025000	2011-06-13	23449	5	2610	"Hus"	129	1929	6.54205607476636
1150000	2011-06-09	7565	5	2610	"Hus"	152	2012	17.3553719008264
3100000	2011-05-31	35227	4	2610	"Hus"	88	1951	10.7142857142857
2100000	2011-05-31	17647	4	2610	"Hus"	119	1964	9.90990990990992
2225000	2011-05-31	22029	4	2610	"Hus"	101	1957	10.7142857142857
2800000	2011-05-29	21875	4	2610	"Hus"	128	1968	5.66037735849058
875000	2011-05-28	8838	4	2610	"Hus"	99	1939	0
2415000	2011-05-27	21954	4	2610	"Hus"	110	1935	-6.38297872340425
1800000	2011-05-27	16981	4	2610	"Hus"	106	1931	9.09090909090909
3775000	2011-05-24	29492	5	2610	"Hus"	128	1933	3.84615384615385
4600000	2011-05-22	29113	5	2610	"Hus"	158	1903	7.40740740740742
2350000	2011-05-19	18076	5	2610	"Hus"	130	1934	0
