"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
6	3995000	21201	148	354	2012	26993	2720	"Hus"	2011-10-24	179	TRUE	TRUE	FALSE	TRUE
5	3795000	19561	132	808	1927	28750	2720	"Hus"	2011-10-26	81	TRUE	TRUE	TRUE	TRUE
4	2349000	12500	99	150	1965	23727	2610	"Rakkehus"	2011-10-26	22	TRUE	TRUE	TRUE	TRUE
1	895000	4600	35	73	1971	25571	2610	"Hus"	2011-10-27	106	FALSE	FALSE	FALSE	FALSE
4	2995000	15583	114	721	1972	26271	2750	"Hus"	2011-10-27	315	FALSE	FALSE	FALSE	FALSE
3	1250000	7846	65	711	1958	19230	2750	"Rakkehus"	2011-10-27	109	TRUE	TRUE	FALSE	TRUE
3	2330000	12224	88	691	1950	26477	2610	"Hus"	2011-11-02	260	FALSE	FALSE	FALSE	FALSE
6	4395000	20243	164	872	2007	26798	2610	"Hus"	2011-11-03	103	TRUE	TRUE	FALSE	TRUE
4	2495000	12884	88	771	1955	28352	2610	"Hus"	2011-11-03	372	FALSE	FALSE	FALSE	FALSE
4	2345000	12958	104	208	2003	22548	2750	"Rakkehus"	2011-11-03	96	TRUE	TRUE	FALSE	TRUE
3	3195000	15803	90	675	1937	35500	2610	"Hus"	2011-11-04	371	FALSE	FALSE	FALSE	FALSE
4	2995000	16914	117	616	1963	25598	2720	"Hus"	2011-11-05	243	TRUE	FALSE	FALSE	TRUE
6	2499000	13771	162	918	1932	15425	2610	"Hus"	2011-11-05	158	FALSE	FALSE	FALSE	FALSE
4	1995000	11554	96	720	1955	20781	2610	"Hus"	2011-11-06	86	TRUE	TRUE	TRUE	TRUE
7	2295000	12319	123	497	1949	18658	2610	"Hus"	2011-11-07	268	FALSE	FALSE	FALSE	FALSE
4	1999000	11441	87	592	1937	22977	2610	"Hus"	2011-11-08	139	TRUE	TRUE	FALSE	TRUE
5	2775000	14342	167	841	1960	16616	2750	"Hus"	2011-11-08	69	TRUE	TRUE	TRUE	TRUE
5	1995000	11511	132	990	1961	15113	2610	"Hus"	2011-11-12	216	TRUE	FALSE	FALSE	TRUE
5	3295000	16465	154	663	1931	21396	2610	"Hus"	2011-11-12	363	FALSE	FALSE	FALSE	FALSE
8	2695000	13670	126	469	1956	21388	2610	"Rakkehus"	2011-11-12	363	FALSE	FALSE	FALSE	FALSE
4	2195000	12827	87	765	1933	25229	2720	"Hus"	2011-11-13	242	TRUE	FALSE	FALSE	TRUE
5	2695000	14280	119	706	1933	22647	2610	"Hus"	2011-11-13	129	TRUE	TRUE	FALSE	TRUE
3	1195000	7311	68	600	1950	17573	2610	"Hus"	2011-11-14	64	TRUE	TRUE	TRUE	TRUE
5	3545000	18808	156	829	1976	22724	2750	"Hus"	2011-11-15	27	TRUE	TRUE	TRUE	TRUE
3	1995000	11824	88	953	1961	22670	2750	"Hus"	2011-11-18	87	FALSE	FALSE	FALSE	FALSE
6	3995000	20458	124	216	1924	32217	2720	"Rakkehus"	2011-11-18	56	TRUE	TRUE	TRUE	TRUE
3	2499000	12087	97	450	1929	25762	2720	"Hus"	2011-11-19	356	FALSE	FALSE	FALSE	FALSE
4	1595000	9664	121	856	1957	13181	2610	"Hus"	2011-11-22	7	TRUE	TRUE	TRUE	TRUE
4	2495000	12924	114	800	1958	21885	2750	"Hus"	2011-11-22	167	FALSE	FALSE	FALSE	FALSE
4	1699000	10156	82	732	1938	20719	2610	"Hus"	2011-11-23	58	FALSE	FALSE	FALSE	FALSE
7	3900000	18702	189	636	2001	20634	2750	"Hus"	2011-11-25	64	TRUE	TRUE	TRUE	TRUE
4	2325000	13007	134	700	1980	17350	2750	"Hus"	2011-11-25	113	TRUE	TRUE	FALSE	TRUE
4	2995000	15129	131	743	1930	22862	2610	"Hus"	2011-11-26	33	TRUE	TRUE	TRUE	TRUE
5	2475000	13650	147	1413	1954	16836	2610	"Hus"	2011-12-01	173	TRUE	TRUE	FALSE	TRUE
3	1875000	10962	78	833	1954	24038	2610	"Hus"	2011-12-01	302	FALSE	FALSE	FALSE	TRUE
7	2500000	15014	217	2243	1915	11520	2750	"Hus"	2011-12-02	212	FALSE	FALSE	FALSE	FALSE
5	3395000	18097	110	281	1940	30863	2720	"Rakkehus"	2011-12-02	19	TRUE	TRUE	TRUE	TRUE
4	2595000	13546	102	706	1956	25441	2610	"Hus"	2011-12-03	94	TRUE	TRUE	FALSE	TRUE
5	1595000	9420	134	564	1958	11902	2610	"Hus"	2011-12-08	195	FALSE	FALSE	FALSE	FALSE
5	2295000	13888	135	849	1968	17000	2750	"Hus"	2011-12-08	103	TRUE	TRUE	FALSE	TRUE
4	2350000	12491	110	650	1937	21363	2610	"Hus"	2011-12-10	298	FALSE	FALSE	FALSE	FALSE
5	3250000	16409	113	255	1929	28761	2720	"Rakkehus"	2011-12-10	164	FALSE	FALSE	FALSE	FALSE
4	1799000	9897	75	696	1932	23986	2610	"Hus"	2011-12-13	169	TRUE	TRUE	FALSE	TRUE
4	4495000	21910	104	840	1926	43221	2720	"Hus"	2011-12-14	257	FALSE	FALSE	FALSE	FALSE
5	3295000	15848	112	645	1936	29419	2610	"Hus"	2011-12-17	149	FALSE	FALSE	FALSE	FALSE
4	2295000	11957	107	420	1971	21448	2750	"Rakkehus"	2011-12-19	219	TRUE	FALSE	FALSE	TRUE
6	3375000	17778	142	936	1930	23767	2610	"Hus"	2011-12-20	80	TRUE	TRUE	TRUE	TRUE
5	4295000	20819	129	700	1903	33294	2610	"Hus"	2011-12-21	8	TRUE	TRUE	TRUE	TRUE
8	3599000	16823	218	703	1966	16509	2610	"Hus"	2011-12-22	111	FALSE	FALSE	FALSE	FALSE
4	2895000	14498	118	160	2007	24533	2750	"Rakkehus"	2011-12-22	201	TRUE	FALSE	FALSE	TRUE
2	1195000	6713	63	783	1940	18968	2610	"Hus"	2011-12-23	267	FALSE	FALSE	FALSE	FALSE
4	2995000	15254	90	162	1944	33277	2720	"Rakkehus"	2011-12-24	220	TRUE	FALSE	FALSE	TRUE
5	2495000	13825	139	804	1967	17949	2750	"Hus"	2011-12-28	212	FALSE	FALSE	FALSE	FALSE
5	2495000	14184	140	1000	1968	17821	2750	"Hus"	2011-12-28	317	FALSE	FALSE	FALSE	FALSE
