"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
4	4200000	23213	122	614	1946	34426	2720	"Hus"	2011-04-06	20	TRUE	TRUE	TRUE	TRUE
5	2500000	13917	175	759	1935	14285	2610	"Hus"	2011-04-06	321	FALSE	FALSE	FALSE	TRUE
5	2995000	16667	104	1000	1935	28798	2750	"Hus"	2011-04-06	33	TRUE	TRUE	TRUE	TRUE
3	2495000	13135	86	253	1990	29011	2750	"Rakkehus"	2011-04-06	154	TRUE	TRUE	FALSE	TRUE
4	2850000	14781	118	137	2007	24152	2750	"Rakkehus"	2011-04-06	246	FALSE	FALSE	FALSE	FALSE
4	3695000	20584	94	790	1924	39308	2720	"Hus"	2011-04-09	10	TRUE	TRUE	TRUE	TRUE
5	3495000	17852	123	735	1930	28414	2610	"Hus"	2011-04-09	293	FALSE	FALSE	FALSE	FALSE
6	3995000	16257	151	658	1936	26456	2610	"Hus"	2011-04-09	297	FALSE	FALSE	FALSE	FALSE
6	2595000	14825	170	1181	1942	15264	2750	"Hus"	2011-04-09	176	FALSE	FALSE	FALSE	FALSE
4	2650000	13787	102	739	1963	25980	2750	"Hus"	2011-04-09	356	FALSE	FALSE	FALSE	TRUE
4	3595000	17966	128	367	1961	28085	2610	"Rakkehus"	2011-04-09	321	FALSE	FALSE	FALSE	TRUE
6	3395000	17128	156	606	1983	21762	2610	"Hus"	2011-04-10	236	TRUE	FALSE	FALSE	TRUE
6	3395000	16895	187	700	1932	18155	2610	"Hus"	2011-04-10	296	FALSE	FALSE	FALSE	TRUE
4	3475000	18200	126	230	1966	27579	2610	"Rakkehus"	2011-04-10	19	TRUE	TRUE	TRUE	TRUE
4	2250000	12954	110	673	1935	20454	2610	"Hus"	2011-04-11	38	TRUE	TRUE	TRUE	TRUE
2	1995000	11751	87	867	1957	22931	2610	"Hus"	2011-04-11	82	TRUE	TRUE	TRUE	TRUE
3	2800000	14919	98	401	1943	28571	2610	"Rakkehus"	2011-04-11	61	TRUE	TRUE	TRUE	TRUE
4	2595000	13339	104	211	1960	24951	2610	"Rakkehus"	2011-04-11	76	TRUE	TRUE	TRUE	TRUE
5	3985000	21220	166	704	1973	24006	2750	"Hus"	2011-04-12	456	FALSE	FALSE	FALSE	FALSE
4	3699000	18072	111	616	1989	33324	2720	"Rakkehus"	2011-04-12	376	FALSE	FALSE	FALSE	TRUE
4	2195000	11260	95	208	1938	23105	2610	"Rakkehus"	2011-04-12	577	FALSE	FALSE	FALSE	FALSE
5	3300000	17326	191	682	1964	17277	2610	"Hus"	2011-04-13	119	TRUE	TRUE	FALSE	TRUE
3	1900000	10761	95	631	1956	20000	2610	"Hus"	2011-04-13	277	FALSE	FALSE	FALSE	TRUE
5	2395000	12848	134	407	1972	17873	2750	"Hus"	2011-04-14	159	TRUE	TRUE	FALSE	TRUE
6	4885000	25473	166	531	1936	29427	2720	"Hus"	2011-04-15	31	TRUE	TRUE	TRUE	TRUE
4	3499000	17748	88	689	1951	39761	2610	"Hus"	2011-04-15	67	TRUE	TRUE	TRUE	TRUE
8	6995000	31961	190	763	1934	36815	2610	"Hus"	2011-04-15	505	FALSE	FALSE	FALSE	FALSE
